review,rating,source
"Love the design and battery life lasts all day.",5,sample
"Great product but shipping took too long.",4,sample
"App connectivity issues frustrate me.",2,sample
"Best purchase this year — highly recommend!",5,sample
"Overpriced compared to competitors.",2,sample
"Customer support was very helpful.",4,sample
"Build quality feels premium and durable.",5,sample
"Wish it had more color options.",3,sample
"Returned it due to leaking lid.",1,sample
"Sustainable materials are a big plus.",5,sample
"Instructions were confusing to follow.",2,sample
"Perfect for gym and office use.",5,sample
"Average product nothing special.",3,sample
"Noise when shaking is annoying.",2,sample
"Eco-friendly branding won me over.",4,sample
